question,document
Is the plan to introduce frameworks later after we finish building the core infrastructure ourselves?,b7cdde6b25
Why focus on the manual implementation of indexing and retrieval rather than using established tools?,b7cdde6b25
Why am I getting an insufficient credits error when running the responses.create command?,f5df151c59
What does it mean when the OpenAI API throws an error about credits?,f5df151c59
Is my OpenAI setup broken if I see an error message about insufficient credits?,f5df151c59
How can I fix the error that pops up during the responses.create step?,f5df151c59
Does my account balance affect the OpenAI commands I'm trying to run in this module?,f5df151c59
Why am I getting a 429 error when trying to run my Python code?,152af39a53
Does the OpenAI API offer any free tier access for this course?,152af39a53
How do I fix the insufficient quota error showing up in my terminal?,152af39a53
Do I need to top up my OpenAI account to keep using the API?,152af39a53
Should I generate a new API key after I finish adding credits to my balance?,152af39a53
Do I need to budget a lot of money to cover the API fees for these assignments?,554d0eb78b
Is it going to get expensive if I keep running the code during the RAG module?,554d0eb78b
What is the minimum amount I need to add to my account to get started?,554d0eb78b
Should I expect to pay more than a few cents while practicing with the OpenAI tools?,554d0eb78b
Are the API costs for this module manageable for a student budget?,554d0eb78b
Are we required to pay for an OpenAI subscription to finish the assignments?,85384a18e5
Can I complete the homework without using my own money for an API key?,85384a18e5
Is there any way to avoid paying for OpenAI tools during this course?,85384a18e5
Are there any cheaper or free substitutes for OpenAI that I can use?,85384a18e5
Where can I find a list of free options instead of paying for OpenAI?,85384a18e5
Is it absolutely mandatory to use uv for this module or can I stick with my usual pip setup?,f81dea8f7e
What makes uv better than just sticking with the standard virtualenv and pip tools I already know?,f81dea8f7e
Why did you choose uv over other common Python environment managers like poetry or pyenv?,f81dea8f7e
"If I decide not to use uv, will I run into any issues following the course exercises?",f81dea8f7e
Does uv actually save that much time compared to the traditional way of handling dependencies?,f81dea8f7e
Why am I getting an error saying my OpenAI key is missing in the notebook?,86d99bbf21
What do I need to do to get my environment variables recognized in Jupyter?,86d99bbf21
Is there a specific package I should install to handle the .env file?,86d99bbf21
How can I make sure the code correctly reads my API key from the environment?,86d99bbf21
Could you explain the right way to initialize the key before setting up the client?,86d99bbf21
What is the best way to keep my API keys secure while working on the course assignments?,233dabe430
Do I need to install any extra packages to read my credentials from a local file?,233dabe430
How can I make sure I do not accidentally upload my secret keys to GitHub?,233dabe430
What is the proper syntax to define my model keys inside a dot-env file?,233dabe430
How do I access the values stored in my environment file once I have them set up?,233dabe430
Am I allowed to switch to a different LLM provider instead of the one suggested for the assignments?,ee43413718
Will I get penalized if I decide to use a local model for the homework tasks?,ee43413718
Do I have to pay for a subscription to complete the module if I choose a service other than the one recommended?,ee43413718
Is there a specific reason why I might need to tweak my code when using an alternative API?,ee43413718
Where can I find a list of other supported services that I could use for the course exercises?,ee43413718
What do I need to set up to use Gemini with the OpenAI client for the first module?,0ae5c221b9
Do I just swap the URL to get Gemini working in the notebook?,0ae5c221b9
Where exactly should I store my API key so the code can access it?,0ae5c221b9
Are there specific parts of the notebook I need to modify to use the Gemini endpoint instead of the default?,0ae5c221b9
Is there a trick to getting the response output working correctly since I am using the chat completions style?,0ae5c221b9
Is there a way to get Pydantic models back from Gemini if I'm using the OpenAI SDK?,341f71f28c
How do I handle structured outputs for Gemini without using the Responses API?,341f71f28c
Can I use chat.completions.parse with Gemini through the OpenAI-compatible endpoint?,341f71f28c
Do I need to install Pydantic to use the parsing features with the OpenAI client?,341f71f28c
What is the best way to get a clean Pydantic object back when querying Gemini via OpenAI's endpoint?,341f71f28c
Where should I go to download the Ollama software for my computer?,1d0b969028
How can I quickly check if the local server is running correctly on my machine?,1d0b969028
What command do I run to get the LLaMA 3 model started for the first time?,1d0b969028
Is there a specific command I need to use to install the Python client?,1d0b969028
How do I set up Ollama if I am working on a Linux environment?,1d0b969028
Why is my code throwing a connection refused error while trying to run the Ollama RAG homework?,c6fc2d4d11
How can I fix the issue when Ollama refuses my connection during the notebook tasks?,c6fc2d4d11
Is there a specific way to restart the server if I keep getting connection errors?,c6fc2d4d11
What should I do if the Ollama server stops responding in my notebook?,c6fc2d4d11
Can I use a specific command to resolve connection issues when running the RAG module?,c6fc2d4d11
Why is the token count I get from tiktoken lower than what I see in the OpenAI API dashboard?,bf0403d21b
Does the structure of my chat messages impact the total number of tokens OpenAI charges me for?,bf0403d21b
How many extra tokens does the chat completion API automatically add to my prompt?,bf0403d21b
Are there hidden tokens included in the response beyond just the text I send?,bf0403d21b
Could unusual characters or formatting in my prompt be messing with the token calculation?,bf0403d21b
Is there a way to stop manually re-exporting my API keys every time I open a new terminal?,8b2f5e9d04
How can I set my environment variables so they load automatically whenever I enter the project folder?,8b2f5e9d04
What is the best practice for making sure I don't accidentally push my API keys to GitHub?,8b2f5e9d04
Can I use direnv instead of dirdotenv if I already have it set up on my machine?,8b2f5e9d04
What is the recommended way to handle secrets when working inside of GitHub Codespaces?,8b2f5e9d04
Is there a better way to figure out the right field weights than just guessing?,87d4ea4e08
How do I actually test if my search settings are working correctly?,87d4ea4e08
What metrics should I be looking at to see if my retrieval is performing well?,87d4ea4e08
"Can I just play around with the numbers until it works, or is that bad practice?",87d4ea4e08
Does the course teach us how to validate these weights properly later on?,87d4ea4e08
Do you have any tips on cleaning up my dataset before I start building the RAG?,649c280e6d
What is the best way to chunk my data so the model retrieves relevant info better?,649c280e6d
"Should I really bother keeping metadata, or is it just extra work?",649c280e6d
"Does the source data format matter a lot, or is JSON the only way to go?",649c280e6d
Is there a specific way to handle things like headers and footers so they don't mess up my results?,649c280e6d
Should I be worried about the hardlink failure message popping up in my terminal?,acf8fa5356
Is my package installation broken because of this uv warning in Codespaces?,acf8fa5356
How can I get rid of the hardlink warning so it stops showing up every time?,acf8fa5356
Is there a way to make the fix for the hardlink error permanent for my environment?,acf8fa5356
Does the system automatically handle the file copying if hardlinking fails?,acf8fa5356
"I keep getting an error saying dotenv isn't recognized, how can I fix this?",0bed1f48da
Which package do I need to install if my terminal says it doesn't recognize dotenv?,0bed1f48da
Could you show me the command to add the dotenv library to my project?,0bed1f48da
How exactly do I need to import and initialize dotenv once it is installed?,0bed1f48da
Where can I find the official documentation for the python-dotenv package?,0bed1f48da
Is it okay if I skip using Codespaces and just set everything up on my own machine?,aa310de435
What do I need to install if I decide to run these labs locally instead of using the provided environment?,aa310de435
"Do you guys require us to use Codespaces, or can I work directly from my laptop?",aa310de435
"If I prefer running this locally, are there any specific requirements for my development setup?",aa310de435
Are there any downsides to doing the course locally compared to the standard cloud environment?,aa310de435
Is my work lost if I forget to commit inside the Codespaces environment?,610ccb23c0
Where is my code physically stored while I'm working in the VM?,610ccb23c0
Do I really need to push to GitHub if my files are already saved in the instance?,610ccb23c0
What's the risk if I don't commit my changes before the session ends?,610ccb23c0
Will my progress be deleted if the Codespace shuts down unexpectedly?,610ccb23c0
Why am I getting a memory error in WSL2 even though my PC has plenty of RAM?,f3dd94f323
How can I give my WSL2 instance access to more system memory?,f3dd94f323
Do I need to create a specific configuration file to increase WSL2 RAM?,f3dd94f323
What is the command to restart WSL after changing the memory settings?,f3dd94f323
Is there a way to check if my updated RAM allocation for WSL2 worked?,f3dd94f323
What steps can I take if my Codespace keeps hanging on the Finishing up screen?,830f3d2018
Is there a way to fix it if my entire development environment seems to have vanished?,830f3d2018
Will I lose my progress if I decide to delete and recreate my codespace?,830f3d2018
Does switching to a different web browser usually help with connection issues?,830f3d2018
Are there any specific commands I should use to quickly reinstall my project setup?,830f3d2018
Am I stuck with OpenAI or is it okay to use a different service?,c6ff9083c0
What do I need to tweak in the code if I want to switch to a different LLM provider?,c6ff9083c0
Can I run everything locally using Ollama instead of relying on an external API?,c6ff9083c0
Are there any open-source models on Hugging Face that I can use for the exercises?,c6ff9083c0
What should I do if my region has blocked access to the standard OpenAI API?,c6ff9083c0
What should I do if I keep getting 429 errors while running my notebook?,8e21752415
How can I configure the OpenAI client to retry automatically when I hit rate limits?,8e21752415
Is there a way to avoid repeating API calls every time I restart my notebook?,8e21752415
Does reducing the number of workers in my process pool help with hitting request caps?,8e21752415
Are there any alternative models or providers that have fewer issues with rate limits?,8e21752415
Are there any major differences between tools and functions in this module?,c296ea5a21
When exactly should the model decide to trigger an external tool during a task?,c296ea5a21
How does the way the model uses tools in agentic RAG differ from basic RAG retrieval?,c296ea5a21
Could you explain the primary purpose of allowing a model to call external APIs or databases?,c296ea5a21
Is the decision-making process for calling tools something I should be concerned about regarding terminology?,c296ea5a21
Are there any cost-free LLMs I can use to practice tool calling?,0d74a3616f
Do the free Groq models actually support function calling?,0d74a3616f
Can I run local models using Ollama for tool use?,0d74a3616f
Is it hard to switch my code from OpenAI to another provider for tools?,0d74a3616f
Where should I look if I want to learn more about setting up tool use with Groq?,0d74a3616f
Why am I getting an AttributeError when I try to access the output attribute with a non-OpenAI model?,9e7b3f0c25
Is the client.responses.create method only intended to work with OpenAI models?,9e7b3f0c25
How can I properly retrieve content if I am using an LLM provider like Mistral or Groq instead of OpenAI?,9e7b3f0c25
Do I need to change how I define the tools schema if I decide to switch away from the OpenAI API?,9e7b3f0c25
Am I allowed to keep using the older chat.completions API for my course assignments?,9e7b3f0c25
Why am I hitting a 400 error when trying to use Azure OpenAI?,b9c7c6bb34
Is there a specific format I should use for the get_weather_tool object?,b9c7c6bb34
"I keep seeing a missing parameter error for tools, how do I fix that?",b9c7c6bb34
Could you show me the correct way to define the weather tool for this assignment?,b9c7c6bb34
"My code crashes with a tool function error, what am I doing wrong in the definition?",b9c7c6bb34
Why am I getting a 404 error when I try using Groq with toyaikit?,0224d980b3
How can I set up toyaikit to work with Anthropic models like Claude?,0224d980b3
Do I need to change my code if I want to switch from OpenAI to Groq?,0224d980b3
What is the difference between OpenAIChatCompletionsRunner and the standard runner?,0224d980b3
Is there a specific way I need to configure the OpenAI client to connect to Groq's API?,0224d980b3
Where am I supposed to look for the assignment details for this module?,53f15299b6
Can you point me toward the link for the Module 1 homework tasks?,53f15299b6
Are the exercise instructions located inside the repo or on the main platform?,53f15299b6
Where should I go if I want to see the specific requirements for the current module's homework?,53f15299b6
Is the GitHub repo the primary place to check for the actual homework assignments?,53f15299b6
Why does my search query return nothing in the first homework assignment?,83da208a64
Is there a specific order for setting up indices to prevent empty query results?,83da208a64
"I'm getting zero matches on my filter, did I mess up the indexing process?",83da208a64
How do I fix the issue where my homework query isn't finding any data?,83da208a64
Should I define index settings before uploading my documents to avoid errors?,83da208a64
Why am I getting a 402 error from OpenRouter when trying to generate a response?,cfb07a27d5
How can I set a limit for output tokens to fix the APIStatusError in my homework?,cfb07a27d5
What should I change in the rag_helper.py file to stop these 402 errors?,cfb07a27d5
Do I need to handle max_output_tokens differently if I am using ToyAIKit for the assignment?,cfb07a27d5
"If I am still getting errors, how can I make sure my .env file is set up correctly for OpenRouter?",cfb07a27d5
Do I need to feed the split data into the index instead of the raw files for the first assignment?,b4300adeb1
How exactly should I configure the search index so it processes the chunked versions of my documents?,b4300adeb1
Is the goal of pointing the RAG pipeline at the chunked index to limit how much info we pass to the LLM?,b4300adeb1
"Should I be using my original documents when fitting the index, or is that wrong for this exercise?",b4300adeb1
Could you clarify if the prompt should only contain the retrieved chunks rather than the entire document collection?,b4300adeb1
What should I do if my calculated number is just slightly off from the provided choices?,5e4ca64cb5
Why might my final results not line up perfectly with the expected homework answers?,5e4ca64cb5
Should I be worried if my answer is completely different from all the choices given?,5e4ca64cb5
Is there a specific way I should handle rounding when submitting my numerical homework results?,5e4ca64cb5
Where can I find more tips on how to properly handle these homework assignments?,5e4ca64cb5
Where can I find the official homework instructions for Module 1?,7d3a2e3505
Is it better to check the course platform or GitHub when the assignment tasks seem confusing?,7d3a2e3505
"Should I post a screenshot if I'm stuck on a coding problem, or is there a better way to ask?",7d3a2e3505
How can I make sure my questions on Slack follow the proper community guidelines?,7d3a2e3505
Does the homework for this course typically use the exact same data as the lessons?,7d3a2e3505
What should I do if my API provider doesn't show the token usage in the response?,fe8fed31e6
Can I use tiktoken to calculate tokens for a model like Gemini or Mistral?,fe8fed31e6
Where exactly can I find the token count info when using an OpenAI-compatible client?,fe8fed31e6
How should I handle the homework if I'm not using the standard OpenAI models?,fe8fed31e6
"If the token numbers don't match exactly for the multiple-choice questions, how should I pick the right one?",fe8fed31e6
Why does the system say my homework link is giving a 500 error?,bcdb8740ce
Do I need to change my repository settings for the grader to see my work?,bcdb8740ce
Should I include the .git extension at the end of the submission link?,bcdb8740ce
Is there an easy way to check if my repo URL is actually public?,bcdb8740ce
What should I do if my submission is failing despite the link looking correct?,bcdb8740ce
How exactly do embeddings turn text or images into numbers?,69430a79a8
Can you explain why keeping the original context is important for embedding models?,69430a79a8
Does the model ensure that data with similar meanings gets mapped to nearby numbers?,69430a79a8
How do we actually perform calculations on these numbers to find semantic matches?,69430a79a8
"Are vector space models the same thing as embeddings, or are they different?",69430a79a8
How can I get rid of the warning about the multi-qa-mpnet-base-dot-v1 model?,aa3f597424
Is there a way to stop that sentence-transformers version warning from popping up?,aa3f597424
"I am seeing a warning regarding sentence transformers v3.0.0, how do I fix that?",aa3f597424
Do I need to update something to stop getting that specific error message during vector search?,aa3f597424
What command should I run to handle the incompatibility warning for my embedding model?,aa3f597424
Why can I just use dot product for cosine similarity in the lesson but not the homework?,92cd22cada
Are the embeddings provided by the models we use usually normalized already?,92cd22cada
Do I need to normalize vectors manually when working with TF-IDF and SVD?,92cd22cada
Is there a specific reason why cosine similarity requires normalization for some models but not others?,92cd22cada
Why does the dot product only equal cosine similarity when vectors have unit length?,92cd22cada
"Should I be embedding just the questions, the answers, or maybe a combo of both for my vector search?",5c4a8d2e60
Is there a best practice for whether to encode the query or the document content in this module?,5c4a8d2e60
How do I decide which embedding strategy will give me the most accurate results for my specific dataset?,5c4a8d2e60
"Does it make sense to concatenate the question and answer together before embedding, or is that overkill?",5c4a8d2e60
Are there any major downsides if I decide to go with the combined question and text embedding approach?,5c4a8d2e60
Could you explain how cosine similarity actually works for comparing documents?,db78580409
What do the numerical results of cosine similarity calculations represent?,db78580409
How does the range of -1 to 1 translate to the relationship between vectors?,db78580409
Why do we use cosine similarity specifically for text analysis tasks?,db78580409
Does a result of zero in a cosine similarity score mean there is no connection between the vectors?,db78580409
Is it true that normalizing our vectors makes cosine similarity just a dot product?,95feb4e75b
Why can we use matrix multiplication to figure out the similarity scores instead of the full cosine formula?,95feb4e75b
Does the magnitude of the vectors still count for anything if they are already normalized?,95feb4e75b
What exactly happens to the calculation when we make all the vectors unit length?,95feb4e75b
Is there a reason we prefer using dot products for these similarity searches in the module?,95feb4e75b
Should I create a separate GitHub repo for the second module assignments?,1e829a8c6f
Is it okay if I just spin up a fresh codespace for these vector search tasks?,1e829a8c6f
Why do I need to make a new environment instead of reusing the one from the first module?,1e829a8c6f
What is the best way to handle the heavy dependencies required for this specific module?,1e829a8c6f
Do I have to push my progress to GitHub if I plan on deleting this codespace later?,1e829a8c6f
Is there a reason the download.py script is stuck at zero percent?,29b69fbe0b
How can I fix the issue where model.onnx won't download properly?,29b69fbe0b
Are there any workarounds if my connection is failing to grab the model from HuggingFace?,29b69fbe0b
Can I just manually download the file if the automated script keeps hanging?,29b69fbe0b
Where exactly should I save the model file if I download it manually through my web browser?,29b69fbe0b
Why is there a discrepancy in the scores between the matrix calculation and the for-loop?,e889793af9
Is it a problem if my vector search values are not identical across both methods?,e889793af9
Why does Python return false when I try to verify the equality of these two output arrays?,e889793af9
Should I be worried if the results only differ by a few decimal points?,e889793af9
What is the best way to properly compare these scores without getting a false result?,e889793af9
Why am I getting an index error when trying to grab the top result?,1a7b27c4df
Is my list index out of range because the embeddings and chunks don't line up?,1a7b27c4df
How can I fix the index mismatch error occurring during the embedding process?,1a7b27c4df
Does the number of chunks need to match my embedding array size exactly?,1a7b27c4df
What is the best way to generate embeddings so I stop hitting this index out of bounds error?,1a7b27c4df
Why don't my cosine similarity results for the homework match any of the provided options?,eaa17a9dc6
Am I supposed to be using a specific embedding model instead of the default sentence-transformers one?,eaa17a9dc6
Does it matter if I embed the entire document dictionary rather than just the content field?,eaa17a9dc6
"Do I need to manually normalize the vectors before calculating the similarity, or does the Embedder class handle that?",eaa17a9dc6
What should I do if my calculated value is just a tiny bit different from the choices listed?,eaa17a9dc6
Do I need to encode my API keys before adding them to Kestra?,3860e5fe8b
How come I need to set both a standard and a base64 version for Gemini?,3860e5fe8b
Do I have to restart my Docker containers after setting these environment variables?,3860e5fe8b
What is the correct way to call these stored keys inside my YAML flow files?,3860e5fe8b
Is there a specific naming convention I should follow when setting up these secret variables?,3860e5fe8b
Why does the Kestra Copilot keep saying it only helps with creating flows?,04440cab11
Do I need a specific environment variable for the Copilot to work properly?,04440cab11
Is there a difference between the API key used for flows and the one for the Copilot?,04440cab11
How can I check if my Gemini key is set up correctly in my terminal session?,04440cab11
Could I be getting a rate limit error if the AI assistant suddenly stops responding?,04440cab11
Why is my Gemini key showing up as invalid even though I set the environment variable?,c8ca21af33
Do I need to restart my containers every single time I update an API key for Kestra?,c8ca21af33
Does the way I encode the base64 string affect whether Kestra can actually read my secret?,c8ca21af33
Is it better to use a .env file instead of just exporting variables in my terminal?,c8ca21af33
Should I include the SECRET_ prefix when I am calling the variable inside my flow?,c8ca21af33
Is there a reason we have to use Kestra instead of just sticking with Jupyter notebooks?,193612db63
What specific features does an orchestrator bring to the table that a simple script lacks?,193612db63
Does this module cover how to build actual production pipelines or is it just about running tasks?,193612db63
Can I use different LLM providers like Gemini or Anthropic with Kestra without rewriting my whole workflow?,193612db63
How does learning Kestra help me implement things like RAG and AI agents in my projects?,193612db63
Do I have to keep using Kestra for the rest of the course or just for the third module?,cce328db64
Am I allowed to use something like Airflow or Prefect for my final project instead of what we learned?,cce328db64
Will I lose points on the capstone if I just use a regular Python script to handle my data pipeline?,cce328db64
Is there a specific reason why we are focusing on Kestra in this module specifically?,cce328db64
Can I switch out the AI provider in my Kestra flows easily or does that break the setup?,cce328db64
Can I switch from Gemini to a local model like Ollama while using Kestra?,f442efe5b4
Is it possible to use Groq for my flow even though the course teaches us to use Gemini?,f442efe5b4
What's the main difference between using the generic AI plugin and the specific ones for each vendor?,f442efe5b4
Do I need to rewrite my whole flow if I decide to switch my LLM provider later?,f442efe5b4
How can I set up an OpenAI-compatible provider like DeepSeek if there isn't a dedicated plugin for it?,f442efe5b4
Is it possible to build pipelines in Kestra if I want to avoid writing YAML files?,bfe5502c30
Does Kestra have any tools that let me create workflows using simple natural language?,bfe5502c30
How does using Kestra for orchestration compare to writing DAGs in Airflow?,bfe5502c30
Can I push automated workflows into the platform straight from my code editor?,bfe5502c30
When should I consider using Zapier or n8n instead of Kestra for my automations?,bfe5502c30
Why does ChatGPT suggest properties for my Kestra YAML that don't actually work?,93a3e8b98c
How can I stop the AI from making up fake property names in my workflow files?,93a3e8b98c
Is there a better way to generate code than using a generic AI if it keeps getting the plugin syntax wrong?,93a3e8b98c
Should I always verify the generated YAML against the official plugin documentation to make sure it's valid?,93a3e8b98c
Does Kestra provide any built-in tools that are specifically designed to suggest the correct YAML syntax for my version?,93a3e8b98c
Is there a reason why I should keep track of how many tokens my Kestra workflows use?,a4adc70f41
How does monitoring token usage actually help me keep my cloud costs under control?,a4adc70f41
Can checking token counts help me figure out if I need to adjust my prompt engineering?,a4adc70f41
What is the best way to prevent a looping workflow from accidentally burning through my budget?,a4adc70f41
Where can I find the specific token usage numbers for my AI tasks in the logs?,a4adc70f41
"I'm getting a mounts denied error when starting Kestra, how do I fix it?",dd8b4c9fda
Does Docker Desktop need specific permissions to access files on my host machine?,dd8b4c9fda
Where in the settings do I add file paths to fix the Docker mount issue?,dd8b4c9fda
Is there a way to configure shared folders so my container can see the tmp directory?,dd8b4c9fda
"After adding a path to file sharing in Docker, what do I need to do to make the changes work?",dd8b4c9fda
Why am I getting a 404 error when trying to use the Gemini model in Kestra?,d51bbe2da0
Is there a way to fix the model not found issue by changing the configuration file?,d51bbe2da0
Where can I find the list of currently supported model IDs to update my flow?,d51bbe2da0
Do I need to restart my Docker services after switching to a different Gemini model?,d51bbe2da0
Does a 404 error mean the model is permanently gone or is it just a temporary availability issue?,d51bbe2da0
"Since my work for the Kestra module was done directly in the UI, what exactly do I need to push to my GitHub repository for the submission?",f29f622684
Am I supposed to include any specific documentation or a README file along with the YAML flow files in my repository?,f29f622684
How should I organize the Kestra YAML files within my public repo for the homework assignment?,f29f622684
Are the answers to the actual quiz questions included in the GitHub repo or do they go somewhere else?,f29f622684
"Do I need to include any additional scripts if I modified them for my Kestra flows, or should I just upload the YAML files?",f29f622684
Why am I getting a JSONDecodeError when I try to create ground-truth questions?,a3c7e1b4f9
How can I stop the LLM from adding extra text or markdown around my JSON output?,a3c7e1b4f9
Is there a way to force the model to only give me clean JSON data?,a3c7e1b4f9
What is the best way to structure my prompt to make sure I get a valid JSON object back?,a3c7e1b4f9
Are there specific settings for other model providers besides OpenAI to ensure I get JSON format?,a3c7e1b4f9
Why does my kernel keep dying whenever I try to run the embeddings?,b8f2d6a30c
Is there a lighter model I can swap in to save some memory?,b8f2d6a30c
Can I run the embedding part as a standalone script to avoid crashes?,b8f2d6a30c
What should I do if my Codespace runs out of memory during this step?,b8f2d6a30c
Will batching the data help prevent these memory issues in my notebook?,b8f2d6a30c
What should I do if I keep hitting the daily quota for Gemini while building the evaluation dataset?,c1e9f4b820
Is there a way to avoid losing my progress if the API rate limit kicks in mid-generation?,c1e9f4b820
Could I switch to another free LLM provider if Gemini keeps blocking my requests?,c1e9f4b820
Would setting a delay in my code be enough to prevent going over the daily limit?,c1e9f4b820
Should I adjust the number of concurrent threads to handle these request limit issues better?,c1e9f4b820
Are there any missing videos in the Module 4 playlist?,57c8d3a1e4
Why does the numbering in Module 4 skip from 6 to 11?,57c8d3a1e4
Should I be worried that I can't find lessons 7 through 10?,57c8d3a1e4
Is there a specific reason for the gap in the lesson file names?,57c8d3a1e4
How does the numbering system work for this section of the course?,57c8d3a1e4
Is it actually possible for my MRR to go up while my Hit Rate just stays flat?,8a5ece0688
What should I do if my MRR and Hit Rate scores are showing up as exactly the same number?,8a5ece0688
